participant_id,condition,reaction_time,major_errors,minor_erros,number_of_clicks,confidence,easiness,group,
2,A,60025,1,0,9,6,5,0,
2,B,7594,0,0,4,7,7,0,
3,A,14958,2,0,6,5,3,0,
3,B,7982,0,0,4,7,7,0,
12,A,60730,1,0,6,6,2,0,couldnt find plant page
12,B,21720,1,0,4,7,3,0,
5,A,38957,2,0,7,4,4,0,
5,B,6653,0,0,4,7,7,0,
11,A,16115,0,0,4,6,7,0,
11,B,8133,0,0,4,7,7,0,
7,A,5047,0,0,4,7,7,1,
7,B,11572,0,0,6,7,6,1,
10,A,5137,0,0,4,7,7,1,
10,B,13236,0,0,4,7,7,1,
6,A,10979,0,1,6,4,3,1,
6,B,32810,0,0,5,7,7,1,
8,A,6477,0,0,4,7,7,1,
8,B,10813,0,0,4,7,6,1,
9,A,3931,0,0,4,7,7,1,
9,B,10315,0,0,4,7,7,1,
4,A,46335,1,0,8,7,4,0,
4,B,6159,0,0,4,7,7,0,
1,A,16571,2,0,6,5,7,0,
1,B,6526,1,1,6,7,7,0,
